,Gene stable ID,Gene name,Transcript name,RefSeq match transcript (MANE Select),Ensembl Canonical,Transcript stable ID,gene_id
11826,ENSG00000185669,SNAI3,SNAI3-201,NM_178310.4,True,ENST00000332281,ENSG00000185669.5
11827,ENSG00000281207,SLFNL1-AS1,SLFNL1-AS1-201,,True,ENST00000626479,ENSG00000281207.1
11828,ENSG00000145743,FBXL17,FBXL17-204,NM_001163315.3,True,ENST00000542267,ENSG00000145743.15
11829,ENSG00000216937,CCDC7,CCDC7-214,NM_001395015.1,True,ENST00000639629,ENSG00000216937.13
11830,ENSG00000267886,,,,True,ENST00000600223,ENSG00000267886.1
11831,ENSG00000204314,PRRT1,PRRT1-201,NM_030651.4,True,ENST00000211413,ENSG00000204314.11
11832,ENSG00000229692,SOS1-IT1,SOS1-IT1-202,,True,ENST00000594472,ENSG00000229692.3
11833,ENSG00000269951,,,,True,ENST00000602975,ENSG00000269951.1
11834,ENSG00000143153,ATP1B1,ATP1B1-201,NM_001677.4,True,ENST00000367815,ENSG00000143153.12
11835,ENSG00000170835,CEL,CEL-201,NM_001807.6,True,ENST00000372080,ENSG00000170835.14
11836,ENSG00000270095,,,,True,ENST00000602558,ENSG00000270095.1
11837,ENSG00000206535,LNP1,LNP1-201,NM_001085451.2,True,ENST00000383693,ENSG00000206535.7
11838,ENSG00000196378,ZNF34,ZNF34-202,NM_001286769.2,True,ENST00000429371,ENSG00000196378.11
11839,ENSG00000181004,BBS12,BBS12-201,NM_152618.3,True,ENST00000314218,ENSG00000181004.9
11840,ENSG00000285774,SAMD4A-AS1,SAMD4A-AS1-205,,True,ENST00000691091,ENSG00000285774.1
11841,ENSG00000275223,,,,True,ENST00000621597,ENSG00000275223.1
11842,ENSG00000254165,,,,True,ENST00000522190,ENSG00000254165.1
11843,ENSG00000117425,PTCH2,PTCH2-201,NM_003738.5,True,ENST00000372192,ENSG00000117425.13
11844,ENSG00000236073,,,,True,ENST00000431514,ENSG00000236073.2
11845,ENSG00000102003,SYP,SYP-201,NM_003179.3,True,ENST00000263233,ENSG00000102003.10
11846,ENSG00000157734,SNX22,SNX22-201,NM_024798.3,True,ENST00000325881,ENSG00000157734.13
11847,ENSG00000001617,SEMA3F,SEMA3F-201,NM_004186.5,True,ENST00000002829,ENSG00000001617.11
11848,ENSG00000284634,,,,True,ENST00000641304,ENSG00000284634.1
11849,ENSG00000167601,AXL,AXL-201,NM_021913.5,True,ENST00000301178,ENSG00000167601.11
11850,ENSG00000270956,,,,True,ENST00000604692,ENSG00000270956.1
11851,ENSG00000252892,RNU6-548P,RNU6-548P-201,,True,ENST00000517083,ENSG00000252892.1
11852,ENSG00000240823,RN7SL23P,RN7SL23P-201,,True,ENST00000484055,ENSG00000240823.3
11853,ENSG00000140009,ESR2,ESR2-202,NM_001437.3,True,ENST00000341099,ENSG00000140009.18
11854,ENSG00000158715,SLC45A3,SLC45A3-201,NM_033102.3,True,ENST00000367145,ENSG00000158715.5
11855,ENSG00000010626,LRRC23,LRRC23-209,NM_001135217.2,True,ENST00000443597,ENSG00000010626.14
11856,ENSG00000136630,HLX,HLX-201,NM_021958.4,True,ENST00000366903,ENSG00000136630.12
11857,ENSG00000141756,FKBP10,FKBP10-201,NM_021939.4,True,ENST00000321562,ENSG00000141756.18
11858,ENSG00000106733,NMRK1,NMRK1-201,NM_017881.3,True,ENST00000361092,ENSG00000106733.20
11859,ENSG00000132825,PPP1R3D,PPP1R3D-201,NM_006242.4,True,ENST00000370996,ENSG00000132825.6
11860,ENSG00000274290,H2BC6,H2BC6-201,NM_003523.3,True,ENST00000614097,ENSG00000274290.2
11861,ENSG00000225173,,,,True,ENST00000457253,ENSG00000225173.1
11862,ENSG00000271335,CCNY-AS1,CCNY-AS1-202,,True,ENST00000605499,ENSG00000271335.5
11863,ENSG00000188315,C3orf62,C3orf62-201,NM_198562.3,True,ENST00000343010,ENSG00000188315.7
11864,ENSG00000174721,FGFBP3,FGFBP3-201,NM_152429.5,True,ENST00000311575,ENSG00000174721.9
11865,ENSG00000135736,CCDC102A,CCDC102A-201,NM_033212.4,True,ENST00000258214,ENSG00000135736.5
11866,ENSG00000257108,NHLRC4,NHLRC4-201,NM_001301159.2,True,ENST00000424439,ENSG00000257108.1
11867,ENSG00000266066,POLRMTP1,POLRMTP1-201,,True,ENST00000578759,ENSG00000266066.1
11868,ENSG00000196981,WDR5B,WDR5B-201,NM_019069.4,True,ENST00000330689,ENSG00000196981.3
11869,ENSG00000249850,KRT18P31,KRT18P31-201,,True,ENST00000506277,ENSG00000249850.1
11870,ENSG00000196663,TECPR2,TECPR2-201,NM_014844.5,True,ENST00000359520,ENSG00000196663.15
11871,ENSG00000137449,CPEB2,CPEB2-208,NM_001177382.2,True,ENST00000538197,ENSG00000137449.15
11872,ENSG00000116117,PARD3B,PARD3B-204,NM_001302769.2,True,ENST00000406610,ENSG00000116117.17
11873,ENSG00000254876,SUGT1P4-STRA6LP,SUGT1P4-STRA6LP-201,,True,ENST00000375204,ENSG00000254876.5
11874,ENSG00000250474,WBP1LP2,WBP1LP2-201,,True,ENST00000515260,ENSG00000250474.2
11875,ENSG00000270419,CAHM,CAHM-201,,True,ENST00000604200,ENSG00000270419.1
11876,ENSG00000270277,,,,True,ENST00000603415,ENSG00000270277.1
11877,ENSG00000213062,,,,True,ENST00000392097,ENSG00000213062.4
11878,ENSG00000268009,SSX4,SSX4-201,NM_005636.4,True,ENST00000595689,ENSG00000268009.5
11879,ENSG00000226383,LINC01876,LINC01876-203,,True,ENST00000635799,ENSG00000226383.6
11880,ENSG00000233452,STXBP5-AS1,STXBP5-AS1-224,,True,ENST00000660355,ENSG00000233452.6
11881,ENSG00000147862,NFIB,NFIB-204,NM_001190737.2,True,ENST00000380953,ENSG00000147862.16
11882,ENSG00000196668,LINC00173,LINC00173-201,,True,ENST00000470091,ENSG00000196668.3
11883,ENSG00000258568,RHOQP1,RHOQP1-201,,True,ENST00000555758,ENSG00000258568.1
